date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,total_trade,trade_balance,import_percentage,export_percentage,year_month,avg_import_per_ship,avg_export_per_ship,avg_trade_per_ship,import_export_ratio,container_share,tanker_share,dry_bulk_share,general_cargo_share,roro_share
2026-06-15 00:00:00+00:00,2026,6,15,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,1,0,1,0,0,0,0,22107,0,22107,0,0,0,0,5984,0,5984,28091,-16123,78.69780356697875,21.302196433021255,2026-06,22107.0,5984.0,28091.0,3.694351604278075,0.0,1.0,0.0,0.0,0.0
2026-06-15 00:00:00+00:00,2026,6,15,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2026-06-14 00:00:00+00:00,2026,6,14,port254,Colombo,Sri Lanka,LKA,11,1,1,0,4,13,17,48860,11328,1030,0,67651,61219,128871,25006,2162,1787,0,1155,28957,30113,158984,-98758,81.05910028682132,18.940899713178684,2026-06,7580.64705882353,1771.3529411764705,9352.0,4.279580247733537,0.6470588235294118,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.0
2026-06-14 00:00:00+00:00,2026,6,14,port678,Hambantota,Sri Lanka,LKA,1,0,0,1,0,2,2,4666,0,0,601,0,5268,5268,0,0,0,673,0,673,673,5941,-4595,88.67194075071538,11.328059249284632,2026-06,2634.0,336.5,2970.5,7.827637444279346,0.5,0.0,0.0,0.0,0.5
2026-06-14 00:00:00+00:00,2026,6,14,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2026-06-14 00:00:00+00:00,2026,6,14,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2026-06-13 00:00:00+00:00,2026,6,13,port254,Colombo,Sri Lanka,LKA,9,0,0,0,3,9,12,47596,0,0,0,14212,47596,61809,9274,0,0,0,2574,9274,11849,73658,-49960,83.91349208504167,16.08650791495832,2026-06,5150.75,987.4166666666666,6138.166666666667,5.216389568739978,0.75,0.25,0.0,0.0,0.0
2026-06-13 00:00:00+00:00,2026,6,13,port678,Hambantota,Sri Lanka,LKA,0,0,0,1,0,1,1,0,0,0,843,0,843,843,0,0,0,681,0,681,681,1524,-162,55.31496062992126,44.68503937007874,2026-06,843.0,681.0,1524.0,1.2378854625550662,0.0,0.0,0.0,0.0,1.0
2026-06-13 00:00:00+00:00,2026,6,13,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,43261,0,43261,43261,43261,0.0,100.0,2026-06,0.0,43261.0,43261.0,0.0,0.0,1.0,0.0,0.0,0.0
2026-06-13 00:00:00+00:00,2026,6,13,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2026-06-12 00:00:00+00:00,2026,6,12,port254,Colombo,Sri Lanka,LKA,7,0,1,0,2,8,10,47524,0,0,0,13823,47524,61348,50483,0,0,0,1155,50483,51639,112987,-9709,54.296511988104825,45.703488011895175,2026-06,6134.8,5163.9,11298.7,1.1880168090009489,0.7,0.2,0.0,0.1,0.0
2026-06-12 00:00:00+00:00,2026,6,12,port678,Hambantota,Sri Lanka,LKA,1,0,0,2,1,3,4,26514,0,0,3150,0,29665,29665,0,0,0,4747,0,4747,4747,34412,-24918,86.2053934673951,13.794606532604906,2026-06,7416.25,1186.75,8603.0,6.249210027385717,0.25,0.25,0.0,0.0,0.5
2026-06-12 00:00:00+00:00,2026,6,12,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7836,0,7836,7836,7836,0.0,100.0,2026-06,0.0,7836.0,7836.0,0.0,0.0,1.0,0.0,0.0,0.0
2026-06-12 00:00:00+00:00,2026,6,12,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2026-06-11 00:00:00+00:00,2026,6,11,port254,Colombo,Sri Lanka,LKA,6,1,2,0,2,9,11,12667,18750,0,0,0,31418,31418,60078,0,7210,0,876,67288,68164,99582,36746,31.549878492096965,68.45012150790303,2026-06,2856.181818181818,6196.727272727273,9052.90909090909,0.46091778651487586,0.5454545454545454,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.0
2026-06-11 00:00:00+00:00,2026,6,11,port678,Hambantota,Sri Lanka,LKA,1,0,0,1,2,2,4,16206,0,0,2106,0,18312,18312,0,0,0,0,0,0,0,18312,-18312,100.0,0.0,2026-06,4578.0,0.0,4578.0,,0.25,0.5,0.0,0.0,0.25
2026-06-11 00:00:00+00:00,2026,6,11,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,2,0,2,0,0,0,0,10341,0,10341,0,0,0,0,3918,0,3918,14259,-6423,72.52261729434042,27.47738270565958,2026-06,5170.5,1959.0,7129.5,2.639356814701378,0.0,1.0,0.0,0.0,0.0
2026-06-11 00:00:00+00:00,2026,6,11,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2026-06-10 00:00:00+00:00,2026,6,10,port254,Colombo,Sri Lanka,LKA,9,0,0,0,1,9,10,55020,0,0,0,0,55020,55020,34164,0,0,0,0,34164,34164,89184,-20856,61.69268030139935,38.307319698600644,2026-06,5502.0,3416.4,8918.4,1.610467158412364,0.9,0.1,0.0,0.0,0.0
2026-06-10 00:00:00+00:00,2026,6,10,port678,Hambantota,Sri Lanka,LKA,2,0,0,0,1,2,3,0,0,0,0,7797,0,7797,12489,0,0,0,594,12489,13084,20881,5287,37.34016570087639,62.65983429912361,2026-06,2599.0,4361.333333333333,6960.333333333333,0.5959186793029655,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
2026-06-10 00:00:00+00:00,2026,6,10,port1319,Trincomalee,Sri Lanka,LKA,0,1,0,0,0,1,1,0,35221,0,0,0,35221,35221,0,1191,0,0,0,1191,1191,36412,-34030,96.72910029660552,3.270899703394485,2026-06,35221.0,1191.0,36412.0,29.57262804366079,0.0,0.0,1.0,0.0,0.0
2026-06-10 00:00:00+00:00,2026,6,10,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2026-06-09 00:00:00+00:00,2026,6,9,port254,Colombo,Sri Lanka,LKA,11,0,0,0,0,11,11,19648,0,0,0,0,19648,19648,26985,0,0,0,0,26985,26985,46633,7337,42.13325327557738,57.866746724422626,2026-06,1786.1818181818182,2453.181818181818,4239.363636363636,0.7281082082638503,1.0,0.0,0.0,0.0,0.0
2026-06-09 00:00:00+00:00,2026,6,9,port678,Hambantota,Sri Lanka,LKA,1,0,0,0,0,1,1,6741,0,0,0,0,6741,6741,4490,0,0,0,0,4490,4490,11231,-2251,60.02136942391595,39.97863057608405,2026-06,6741.0,4490.0,11231.0,1.501336302895323,1.0,0.0,0.0,0.0,0.0
2026-06-09 00:00:00+00:00,2026,6,9,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2026-06-09 00:00:00+00:00,2026,6,9,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2026-06-08 00:00:00+00:00,2026,6,8,port254,Colombo,Sri Lanka,LKA,8,1,1,0,2,10,12,34593,14753,0,0,43324,49347,92671,31524,1618,0,0,5758,33143,38902,131573,-53769,70.43314357808973,29.56685642191027,2026-06,7722.583333333333,3241.8333333333335,10964.416666666666,2.3821654413654825,0.6666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.0
2026-06-08 00:00:00+00:00,2026,6,8,port678,Hambantota,Sri Lanka,LKA,1,0,0,1,0,2,2,0,0,0,601,0,601,601,0,0,0,673,0,673,673,1274,72,47.174254317111455,52.82574568288854,2026-06,300.5,336.5,637.0,0.8930163447251115,0.5,0.0,0.0,0.0,0.5
2026-06-08 00:00:00+00:00,2026,6,8,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2026-06-08 00:00:00+00:00,2026,6,8,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2026-06-07 00:00:00+00:00,2026,6,7,port254,Colombo,Sri Lanka,LKA,7,0,0,0,1,7,8,7629,0,0,0,4206,7629,11836,25536,0,0,0,809,25536,26345,38181,14509,30.999711898588306,69.0002881014117,2026-06,1479.5,3293.125,4772.625,0.4492693110647182,0.875,0.125,0.0,0.0,0.0
2026-06-07 00:00:00+00:00,2026,6,7,port678,Hambantota,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2026-06-07 00:00:00+00:00,2026,6,7,port1319,Trincomalee,Sri Lanka,LKA,0,0,0,0,1,0,1,0,0,0,0,31714,0,31714,0,0,0,0,0,0,0,31714,-31714,100.0,0.0,2026-06,31714.0,0.0,31714.0,,0.0,1.0,0.0,0.0,0.0
2026-06-07 00:00:00+00:00,2026,6,7,port2224,Galle,Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2026-06,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
